State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,No College Degree Percentage,Associates or Bachelors Degree,Associates or Bachelors Degree Percentage,Post Graduate Degree,Post Graduate Degree Percentage,White,White Percentage,Black or African American,Black or African American Percentage,American Indian and Alaska Native,American Indian and Alaska Native Percentage,Asian,Asian Percentage,Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander Percentage,Other,Other Percentage
Georgia,"$43,268.79",39.52,38.12,41.05,2984196.0,60.27%,1744426.0,35.23%,222439.0,4.49%,6061821.0,60.83%,3195268.0,32.07%,30552.0,0.31%,388946.0,3.90%,5237.0,0.05%,282570.0,2.84%
Hawaii,"$68,663.00",44.06,42.72,45.2,438198.0,55.69%,311993.0,39.65%,36717.0,4.67%,357308.0,32.99%,25884.0,2.39%,2756.0,0.25%,540556.0,49.91%,142600.0,13.17%,14056.0,1.30%
Idaho,"$46,171.93",39.89,39.4,40.18,494067.0,60.45%,295383.0,36.14%,27878.0,3.41%,1507880.0,93.46%,11231.0,0.70%,21323.0,1.32%,22720.0,1.41%,2343.0,0.15%,47964.0,2.97%
Illinois,"$52,930.38",41.55,40.12,43.08,3632451.0,56.85%,2458626.0,38.48%,298432.0,4.67%,9236701.0,73.64%,1833501.0,14.62%,29696.0,0.24%,671811.0,5.36%,4275.0,0.03%,767145.0,6.12%
Indiana,"$51,877.40",40.16,38.97,41.43,2128671.0,64.27%,1077355.0,32.53%,106086.0,3.20%,5546787.0,85.85%,613060.0,9.49%,15027.0,0.23%,137680.0,2.13%,2635.0,0.04%,145791.0,2.26%
Iowa,"$53,436.08",41.93,40.41,43.46,956128.0,58.50%,621474.0,38.03%,56715.0,3.47%,2824197.0,92.43%,106762.0,3.49%,10791.0,0.35%,71178.0,2.33%,2913.0,0.10%,39527.0,1.29%
Kansas,"$50,022.57",41.44,39.97,42.95,805360.0,57.15%,545536.0,38.71%,58409.0,4.14%,2465518.0,87.88%,168470.0,6.01%,23503.0,0.84%,80738.0,2.88%,1923.0,0.07%,65253.0,2.33%
Kentucky,"$41,470.49",40.71,39.34,42.06,1448641.0,66.64%,644976.0,29.67%,80326.0,3.69%,3862600.0,89.25%,353088.0,8.16%,9324.0,0.22%,59593.0,1.38%,2271.0,0.05%,41197.0,0.95%
Louisiana,"$42,654.08",37.7,36.17,39.48,1574505.0,68.22%,652630.0,28.28%,80839.0,3.50%,2909599.0,63.58%,1500648.0,32.79%,27094.0,0.59%,80980.0,1.77%,1401.0,0.03%,56216.0,1.23%
Maine,"$49,680.81",45.91,44.88,46.83,445050.0,58.80%,281727.0,37.22%,30069.0,3.97%,1258918.0,96.69%,16906.0,1.30%,8212.0,0.63%,14804.0,1.14%,249.0,0.02%,2967.0,0.23%
Maryland,"$72,541.17",40.83,39.5,42.09,1616648.0,54.43%,1127114.0,37.95%,226258.0,7.62%,3395212.0,58.47%,1782256.0,30.69%,16281.0,0.28%,373065.0,6.42%,2830.0,0.05%,236834.0,4.08%
Massachusetts,"$71,030.71",41.56,40.14,42.82,1742177.0,50.22%,1464935.0,42.23%,261866.0,7.55%,5358373.0,81.44%,499774.0,7.60%,14336.0,0.22%,426225.0,6.48%,2253.0,0.03%,278835.0,4.24%
Michigan,"$47,530.52",44.34,43.13,45.61,3116760.0,61.35%,1769912.0,34.84%,193324.0,3.81%,7813199.0,80.99%,1374515.0,14.25%,51804.0,0.54%,289082.0,3.00%,2808.0,0.03%,115258.0,1.19%
Minnesota,"$57,530.00",41.83,40.81,42.92,1526848.0,52.28%,1261355.0,43.19%,132114.0,4.52%,4598252.0,86.17%,326953.0,6.13%,57566.0,1.08%,255935.0,4.80%,1976.0,0.04%,95600.0,1.79%
Mississippi,"$37,018.72",38.15,36.56,39.86,948298.0,66.27%,437529.0,30.58%,45151.0,3.16%,1755471.0,59.54%,1122576.0,38.08%,13258.0,0.45%,28859.0,0.98%,597.0,0.02%,27530.0,0.93%
Missouri,"$44,435.30",41.29,40.12,42.58,1925829.0,62.54%,1033978.0,33.58%,119439.0,3.88%,5004537.0,84.48%,703061.0,11.87%,25933.0,0.44%,112959.0,1.91%,6336.0,0.11%,71084.0,1.20%
Montana,"$47,746.75",44.3,43.8,44.94,332576.0,59.29%,206807.0,36.87%,21570.0,3.85%,916664.0,91.53%,4438.0,0.44%,66865.0,6.68%,7448.0,0.74%,571.0,0.06%,5492.0,0.55%
Nebraska,"$51,928.35",43.54,42.24,44.78,538081.0,56.46%,377293.0,39.59%,37601.0,3.95%,1663612.0,90.01%,89718.0,4.85%,16012.0,0.87%,42208.0,2.28%,1524.0,0.08%,35276.0,1.91%
Nevada,"$56,859.00",43.02,42.57,43.74,948342.0,64.85%,466039.0,31.87%,48075.0,3.29%,1936453.0,70.33%,253013.0,9.19%,32426.0,1.18%,232502.0,8.44%,19019.0,0.69%,279977.0,10.17%
New Hampshire,"$64,901.90",44.2,43.05,45.3,386958.0,53.62%,303312.0,42.03%,31443.0,4.36%,1244260.0,95.30%,18632.0,1.43%,2148.0,0.16%,33313.0,2.55%,289.0,0.02%,7016.0,0.54%
New Jersey,"$77,047.76",40.79,39.28,42.24,2521928.0,54.69%,1840395.0,39.91%,248895.0,5.40%,6085474.0,69.70%,1207356.0,13.83%,18006.0,0.21%,844105.0,9.67%,3013.0,0.03%,573146.0,6.56%
New Mexico,"$41,197.21",41.61,40.47,42.68,624288.0,62.85%,321645.0,32.38%,47440.0,4.78%,1547843.0,76.76%,42187.0,2.09%,197191.0,9.78%,29991.0,1.49%,1390.0,0.07%,197944.0,9.82%
New York,"$58,309.26",41.27,39.83,42.68,5398669.0,54.60%,3903105.0,39.47%,585808.0,5.92%,12638791.0,65.80%,3100685.0,16.14%,77130.0,0.40%,1652846.0,8.60%,7937.0,0.04%,1730813.0,9.01%
North Carolina,"$44,551.67",42.19,40.51,43.85,2891783.0,57.55%,1931601.0,38.44%,201417.0,4.01%,6937466.0,70.78%,2159427.0,22.03%,117998.0,1.20%,269164.0,2.75%,6393.0,0.07%,310920.0,3.17%
North Dakota,"$59,795.96",43.15,42.02,44.12,214491.0,54.38%,168272.0,42.66%,11698.0,2.97%,654024.0,89.83%,17365.0,2.39%,39507.0,5.43%,10197.0,1.40%,341.0,0.05%,6600.0,0.91%
Ohio,"$51,742.20",40.78,39.52,42.04,3792469.0,62.97%,2013862.0,33.44%,216397.0,3.59%,9503779.0,84.13%,1428230.0,12.64%,21872.0,0.19%,235878.0,2.09%,3499.0,0.03%,103726.0,0.92%
Oklahoma,"$46,219.86",39.31,38.12,40.6,1245437.0,64.81%,616745.0,32.09%,59481.0,3.10%,2828569.0,78.70%,283821.0,7.90%,289871.0,8.07%,80670.0,2.24%,5543.0,0.15%,105686.0,2.94%
Oregon,"$48,502.50",43.77,42.7,44.76,1179719.0,56.53%,803739.0,38.51%,103415.0,4.96%,3416776.0,88.96%,76347.0,1.99%,45332.0,1.18%,166351.0,4.33%,15157.0,0.39%,121000.0,3.15%
Pennsylvania,"$53,281.88",42.93,41.42,44.75,4195252.0,61.33%,2346255.0,34.30%,298968.0,4.37%,10378174.0,83.07%,1417611.0,11.35%,24995.0,0.20%,417525.0,3.34%,3665.0,0.03%,251215.0,2.01%
Puerto Rico,"$18,412.95",39.92,38.29,41.42,979803.0,57.84%,660256.0,38.98%,53894.0,3.18%,2389446.0,73.32%,338939.0,10.40%,10849.0,0.33%,7789.0,0.24%,136.0,0.00%,511785.0,15.70%
Rhode Island,"$69,906.40",42.76,40.9,44.44,306639.0,56.72%,205398.0,37.99%,28563.0,5.28%,854801.0,83.41%,68346.0,6.67%,5413.0,0.53%,35556.0,3.47%,759.0,0.07%,59967.0,5.85%
South Carolina,"$42,126.78",40.89,39.07,42.9,1508259.0,60.97%,880262.0,35.58%,85428.0,3.45%,3292598.0,68.75%,1332110.0,27.82%,14992.0,0.31%,71994.0,1.50%,3015.0,0.06%,74328.0,1.55%
South Dakota,"$50,408.74",40.52,39.43,41.74,260433.0,58.17%,172881.0,38.62%,14382.0,3.21%,724430.0,87.08%,14698.0,1.77%,74062.0,8.90%,11693.0,1.41%,381.0,0.05%,6687.0,0.80%
Tennessee,"$43,016.61",41.85,40.45,43.28,2162074.0,64.73%,1051055.0,31.47%,127057.0,3.80%,5131786.0,79.44%,1107392.0,17.14%,17568.0,0.27%,110605.0,1.71%,3784.0,0.06%,88745.0,1.37%
Texas,"$49,894.34",39.02,37.67,40.49,7487824.0,60.14%,4497286.0,36.12%,466003.0,3.74%,20459525.0,76.58%,3286950.0,12.30%,130360.0,0.49%,1236852.0,4.63%,23531.0,0.09%,1580393.0,5.92%
Utah,"$59,208.76",34.24,33.64,34.88,739924.0,55.28%,543564.0,40.61%,54996.0,4.11%,2600077.0,89.33%,33619.0,1.16%,32079.0,1.10%,67545.0,2.32%,26742.0,0.92%,150596.0,5.17%
Vermont,"$55,252.71",44.57,43.46,45.59,185137.0,54.87%,132941.0,39.40%,19306.0,5.72%,590499.0,96.40%,7921.0,1.29%,2072.0,0.34%,9680.0,1.58%,206.0,0.03%,2197.0,0.36%
Virginia,"$56,270.04",41.75,40.35,43.25,2224213.0,54.06%,1647956.0,40.05%,242263.0,5.89%,5720209.0,70.85%,1605447.0,19.88%,22499.0,0.28%,520119.0,6.44%,5469.0,0.07%,200265.0,2.48%
Washington,"$54,112.46",41.84,40.92,42.84,1964102.0,53.22%,1547989.0,41.94%,178498.0,4.84%,5500837.0,81.19%,261743.0,3.86%,94754.0,1.40%,578822.0,8.54%,46071.0,0.68%,293007.0,4.32%
West Virginia,"$41,701.91",43.72,42.66,44.86,698120.0,71.92%,245165.0,25.26%,27401.0,2.82%,1714591.0,94.99%,65300.0,3.62%,3322.0,0.18%,14096.0,0.78%,541.0,0.03%,7193.0,0.40%
Wisconsin,"$53,849.42",43.22,42.25,44.21,1807506.0,58.77%,1160288.0,37.72%,107949.0,3.51%,4950577.0,87.90%,365884.0,6.50%,50094.0,0.89%,152325.0,2.70%,1811.0,0.03%,111435.0,1.98%
Wyoming,"$59,065.22",39.8,39.26,40.55,183721.0,60.47%,110017.0,36.21%,10103.0,3.33%,532394.0,93.75%,6121.0,1.08%,13549.0,2.39%,5102.0,0.90%,470.0,0.08%,10247.0,1.80%
